GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
01-01-2015,12,8,4,11,7,3,94,88,78,1033,1027,1020,18,9,5,39,21,60,0.51,7,Rain,209
02-01-2015,11,7,4,12,4,0,94,70,41,1035,1029,1019,31,16,3,35,24,50,0,2,Rain,258
03-01-2015,6,4,2,6,3,1,100,91,70,1033,1024,1014,31,10,2,19,10,,7.11,5,Rain,19
04-01-2015,3,1,-2,3,1,-2,100,97,90,1037,1035,1031,13,4,0,13,6,27,0,6,Fog,225
05-01-2015,10,6,2,8,5,2,100,86,67,1034,1029,1023,31,10,3,19,10,,0.25,6,,199
06-01-2015,10,6,2,9,4,1,100,83,63,1027,1021,1017,31,14,5,32,14,39,1.02,5,Rain,226
07-01-2015,10,6,1,9,4,-1,100,84,59,1027,1023,1018,29,14,10,34,14,53,0.25,4,Rain,211
08-01-2015,11,9,7,10,7,3,95,82,66,1027,1021,1016,31,13,3,34,23,,11.94,4,Rain,245
09-01-2015,16,11,6,13,9,5,94,79,57,1024,1018,1014,31,13,8,52,32,71,0,4,Rain,246
10-01-2015,14,9,4,11,5,-3,94,69,33,1020,1015,1009,31,13,8,61,35,69,0.76,4,Rain,258
11-01-2015,9,6,2,5,2,-1,87,71,47,1025,1022,1019,31,17,10,34,24,,0.51,4,Rain,253
12-01-2015,12,9,7,11,8,4,94,82,62,1020,1010,1002,31,13,3,42,29,66,3.05,5,Rain,225
13-01-2015,9,6,3,10,5,0,94,82,66,1004,1002,1000,31,13,5,35,24,47,2.03,3,Rain-Thunderstorm,238
14-01-2015,9,6,2,7,2,-1,93,74,47,1009,1004,992,31,13,8,42,26,60,2.03,3,Rain,223
15-01-2015,9,7,5,9,3,-2,94,71,40,997,991,987,31,13,5,53,34,69,0.51,3,Rain,227
16-01-2015,7,4,0,3,1,-1,93,73,47,1013,1005,998,31,20,10,34,19,48,0.25,1,Rain,255
17-01-2015,7,2,-3,2,-1,-4,93,80,54,1014,1012,1011,31,16,10,21,13,,0.25,1,Rain,224
18-01-2015,4,1,-1,3,1,-2,100,87,66,1015,1012,1010,27,11,5,11,6,,0,3,Rain,314
19-01-2015,5,2,-2,1,-1,-3,100,79,49,1016,1014,1012,31,12,5,13,6,,0,4,,298
20-01-2015,5,-1,-7,1,-2,-7,100,83,59,1012,1010,1005,31,11,5,26,6,,0.25,2,Fog-Rain,133
21-01-2015,4,3,2,2,2,0,95,88,71,1014,1008,1004,27,9,5,24,18,,0.25,6,Rain,105
22-01-2015,4,1,-2,1,-1,-3,100,81,52,1026,1020,1014,11,7,3,11,6,,0,4,,13
23-01-2015,7,-1,-8,7,-1,-8,100,87,62,1027,1024,1017,11,7,3,23,8,,1.02,6,Fog-Rain,215
24-01-2015,7,4,1,8,1,-2,100,75,49,1032,1026,1016,31,17,5,26,16,,0,3,Rain,295
25-01-2015,8,3,-2,6,2,-3,100,81,57,1033,1030,1025,31,15,10,27,11,,0.25,6,,246
26-01-2015,9,7,4,9,4,1,94,77,49,1028,1024,1021,31,16,10,23,16,,0.25,4,Rain,285
27-01-2015,9,6,2,4,3,0,93,77,60,1029,1026,1019,31,18,10,21,13,,0,5,,272
28-01-2015,11,7,3,9,2,-3,94,73,35,1020,1006,999,31,14,6,48,27,55,1.02,5,Rain,247
29-01-2015,7,4,1,2,0,-2,93,80,55,1002,985,977,31,15,8,34,26,,1.02,2,Rain,255
30-01-2015,7,3,1,2,1,-1,93,79,56,981,979,975,31,15,9,23,18,39,0.25,3,Rain,280
31-01-2015,5,2,-1,2,0,-3,100,80,51,994,985,980,31,14,5,24,16,42,3.05,5,Rain-Snow,298
01-02-2015,6,3,-1,0,-2,-4,93,66,49,1006,1000,994,31,15,8,34,21,48,0,5,Rain-Snow,312
02-02-2015,3,-1,-6,-2,-4,-8,86,72,52,1007,1006,1004,31,19,10,14,10,,0,1,,293
03-02-2015,4,1,-1,1,0,-4,100,88,68,1015,1008,1004,27,11,1,19,10,,0,5,Fog-Rain-Snow,4
04-02-2015,4,2,1,1,0,-1,93,79,59,1025,1020,1015,26,13,7,19,11,,0,4,Rain,356
05-02-2015,5,3,1,2,-1,-4,93,80,48,1029,1026,1024,31,13,4,23,13,,0.25,3,Rain-Snow,17
06-02-2015,5,2,-1,-1,-2,-4,87,68,45,1034,1031,1029,31,17,10,27,16,47,0,3,,43
07-02-2015,5,2,-1,3,1,-2,100,86,71,1038,1036,1034,26,12,5,16,11,,0.25,6,Rain,18
08-02-2015,9,6,2,2,1,0,93,76,47,1040,1038,1036,23,12,5,14,8,,0,3,,314
09-02-2015,9,4,0,4,3,-1,93,80,53,1037,1034,1033,18,9,3,13,8,,0,5,,316
10-02-2015,7,6,4,3,2,1,93,79,61,1034,1032,1028,29,11,5,16,5,,0,6,,141
11-02-2015,5,4,4,2,1,0,81,74,60,1029,1025,1022,24,11,9,14,10,,0,7,,154
12-02-2015,4,3,1,0,-1,-1,93,71,58,1023,1020,1014,10,8,6,13,6,,0,7,,188
13-02-2015,9,5,1,7,4,-1,93,86,71,1015,1003,996,26,10,3,34,18,52,2.03,4,Rain,159
14-02-2015,8,6,3,7,5,3,100,88,74,1008,1002,996,31,13,6,14,11,,0.25,5,Rain,75
15-02-2015,9,6,2,6,4,1,100,84,55,1017,1013,1008,24,8,3,13,8,,0,5,Rain,56
16-02-2015,8,4,-1,7,4,0,100,91,72,1024,1016,1014,19,8,0,19,8,,5.08,4,Fog-Rain,197
17-02-2015,9,6,2,2,0,-2,93,69,34,1042,1036,1024,31,16,10,16,11,,0,2,,299
18-02-2015,11,6,0,3,1,-2,93,72,44,1042,1037,1031,31,16,10,26,11,40,0,3,,219
19-02-2015,8,6,4,7,4,2,95,85,67,1031,1021,1011,31,13,5,27,18,,2.03,5,Rain,204
20-02-2015,7,4,2,6,3,1,97,83,61,1012,1006,1000,29,14,8,14,10,,0.25,3,Rain,281
21-02-2015,8,4,1,2,1,-2,100,78,40,1008,1002,998,31,13,6,24,13,,1.02,3,Rain,289
22-02-2015,10,4,-2,8,2,-3,100,88,61,1009,1003,990,31,13,5,37,16,52,6.1,5,Rain,207
23-02-2015,8,6,4,4,1,-2,87,70,42,993,992,991,31,15,5,45,26,58,1.02,2,Rain,238
24-02-2015,9,7,3,3,1,-3,87,67,28,1014,1005,993,31,16,8,37,26,53,0,3,Rain,258
25-02-2015,12,8,4,8,6,2,100,81,52,1017,1015,1012,31,13,6,14,11,37,1.02,4,Rain,231
26-02-2015,11,7,3,11,6,-1,100,84,58,1016,1013,1009,31,14,5,24,14,35,4.06,5,Rain,255
27-02-2015,9,4,0,3,0,-2,93,69,33,1021,1019,1016,31,17,10,23,13,,0,1,,252
28-02-2015,11,8,4,10,6,3,100,86,68,1018,1008,996,31,13,6,32,21,48,2.03,6,Rain,201
01-03-2015,12,8,5,9,3,1,88,68,35,1003,1000,996,31,15,10,40,31,66,3.05,2,Rain-Thunderstorm,252
02-03-2015,9,6,2,2,-1,-6,87,64,26,1016,1008,1001,31,17,10,47,26,64,0,1,Rain,254
03-03-2015,9,6,2,3,0,-3,93,65,30,1021,1016,1012,31,15,10,37,19,,0,2,Rain,243
04-03-2015,11,6,2,1,0,-2,87,64,34,1039,1030,1022,31,19,10,27,19,,0,2,,286
05-03-2015,12,6,-1,4,1,-2,93,69,41,1041,1039,1037,31,14,10,24,11,37,0,5,,268
06-03-2015,13,9,5,4,2,1,81,64,35,1037,1034,1029,31,17,10,27,18,,0,5,,224
07-03-2015,16,11,6,6,4,3,93,68,38,1029,1025,1022,27,18,10,27,18,45,0,,,218
08-03-2015,13,9,6,9,6,3,93,79,64,1028,1023,1021,31,13,8,27,16,,0,4,Rain,240
09-03-2015,11,6,1,9,5,0,100,87,75,1029,1025,1021,23,12,6,27,11,42,0.25,5,Rain,198
10-03-2015,12,8,3,6,2,-2,100,65,26,1032,1030,1025,31,15,6,16,10,,0,,,329
11-03-2015,14,8,3,6,4,1,93,72,41,1032,1029,1026,19,11,6,24,13,,0,6,Rain,150
12-03-2015,14,10,5,6,1,-6,87,52,17,1029,1025,1021,31,12,6,26,13,,0,4,,132
13-03-2015,11,8,4,3,1,-3,81,54,25,1029,1023,1020,31,17,6,27,13,,0,4,,81
14-03-2015,8,6,3,3,0,-2,87,63,37,1031,1030,1029,31,13,9,23,16,,0,4,Rain,35
15-03-2015,7,6,4,4,3,1,93,78,56,1030,1028,1025,16,10,5,21,14,,0,5,Rain,51
16-03-2015,8,6,4,5,3,3,94,83,64,1026,1023,1022,10,7,3,16,11,,0.51,6,Rain,78
17-03-2015,12,8,4,6,6,3,100,83,51,1029,1025,1023,7,3,2,16,8,,0,4,Rain,49
18-03-2015,11,7,3,4,3,2,100,77,46,1034,1032,1029,8,5,1,19,10,,0,3,,23
19-03-2015,8,7,6,4,3,3,87,79,67,1034,1033,1031,14,8,5,19,13,,0,7,,23
20-03-2015,12,8,5,4,3,3,87,74,45,1032,1027,1023,18,7,5,16,10,,0,6,,353
21-03-2015,8,7,5,4,2,0,87,70,45,1029,1026,1022,31,14,10,24,11,,0,5,,5
22-03-2015,9,6,2,2,0,-2,87,64,39,1029,1026,1021,31,15,10,19,13,,0,4,,76
23-03-2015,12,7,1,6,2,-1,93,69,36,1022,1016,1012,31,13,5,21,11,,2.03,4,Rain,255
24-03-2015,11,7,3,6,2,-1,93,70,35,1012,1010,1008,31,12,2,19,8,,0.25,2,Rain,311
25-03-2015,10,5,0,3,0,-2,93,69,32,1012,1011,1009,26,12,8,14,8,,0,2,,292
26-03-2015,13,8,3,8,3,-1,93,72,36,1015,1006,1001,31,13,2,29,16,58,5.08,4,Rain,255
